"Id";"status";"confidence(-1)";"confidence(1)";"Predicted"
5895;;0.0;1.0;"1"
7122;;1.0;0.0;"-1"
6173;;1.0;0.0;"-1"
6142;;0.0;1.0;"1"
5358;;0.8;0.2;"-1"
6095;;0.0;1.0;"1"
6878;;0.08333333333333333;0.9166666666666666;"1"
6554;;0.08333333333333333;0.9166666666666666;"1"
6793;;0.0;1.0;"1"
7286;;0.0;1.0;"1"
6076;;0.0;1.0;"1"
5134;;0.0;1.0;"1"
5419;;0.014925373134328358;0.9850746268656716;"1"
6255;;0.0;1.0;"1"
5656;;0.014925373134328358;0.9850746268656716;"1"
6934;;0.0;1.0;"1"
6028;;0.08333333333333333;0.9166666666666666;"1"
6490;;0.014925373134328358;0.9850746268656716;"1"
6415;;0.0;1.0;"1"
7087;;0.0;1.0;"1"
5420;;0.014925373134328358;0.9850746268656716;"1"
5977;;0.0;1.0;"1"
6824;;1.0;0.0;"-1"
5207;;0.0;1.0;"1"
7115;;1.0;0.0;"-1"
7250;;0.014925373134328358;0.9850746268656716;"1"
6010;;0.0;1.0;"1"
6088;;0.0;1.0;"1"
5682;;0.0;1.0;"1"
7201;;0.0;1.0;"1"
6938;;0.0;1.0;"1"
6875;;0.014925373134328358;0.9850746268656716;"1"
5953;;0.014925373134328358;0.9850746268656716;"1"
5942;;0.014925373134328358;0.9850746268656716;"1"
5382;;0.08333333333333333;0.9166666666666666;"1"
6377;;0.0;1.0;"1"
5931;;0.014925373134328358;0.9850746268656716;"1"
5992;;0.014925373134328358;0.9850746268656716;"1"
5790;;1.0;0.0;"-1"
6753;;0.08333333333333333;0.9166666666666666;"1"
6562;;0.0;1.0;"1"
7046;;1.0;0.0;"-1"
5868;;1.0;0.0;"-1"
5784;;0.0;1.0;"1"
5878;;0.08333333333333333;0.9166666666666666;"1"
5110;;0.0;1.0;"1"
5210;;0.08333333333333333;0.9166666666666666;"1"
7230;;0.08333333333333333;0.9166666666666666;"1"
5005;;0.0;1.0;"1"
6871;;0.014925373134328358;0.9850746268656716;"1"
